strTaxClass,strSppC,strITIScode,strElCode,strGName,strSComNam,strSeasWarn,strGRank,strGRank2,strSRankAL,strSRankAL2,strSRankFL,strSRankFL2,strSRankGA,strSRankGA2,strSRankKY,strSRankKY2,strSRankMS,strSRankMS2,strSRankNC,strSRankNC2,strSRankSC,strSRankSC2,strSRankTN,strSRankTN2,strSRankVA,strSRankVA2,strSProtAL,strSProtFL,strSProtGA,strSProtKY,strSProtMS,strSProtNC,strSProtSC,strSProtTN,strSProtVA,strSGCNAL,strSGCNFL,strSGCNGA,strSGCNKY,strSGCNMS,strSGCNNC,strSGCNSC,strSGCNTN,strSGCNVA,USESA_CODE
Amphibian,aACSS,208282,AAAAD12500,"Plethodon chlorobryonis","Atlantic coast slimy salamander",,G4,,,,,,SNR,,,,,,S4?,,SNR,,,,SNR,,,,,,,,,,,0,0,0,0,0,0,0,0,0,
Amphibian,aADSA,208266,AAAAD03120,"Desmognathus apalachicolae","Apalachicola Dusky Salamander",,G3G4,G3G4,S3,S3,S3,S3,S3,S3,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,
Amphibian,aAMDS,173641,AAAAD03070,"Desmognathus ochrophaeus","Allegheny Mountain Dusky Salamander",,G5,,,,,,,,S4,,,,,,,,S5,,S4,,,,,N,,,,,,0,0,0,1,0,0,0,0,0,
Amphibian,aAMTO,173473,AAABB01020,"Bufo americanus","American Toad",,G5,,S5,,,,S5,,S5,,S4?,,S5,,SNR,,S5,,S5,,,,,N,NGSINM,,,,,0,0,0,0,0,0,0,0,0,
Amphibian,aBATR,173508,AAABC02100,"Hyla gratiosa","Barking Treefrog",,G5,,S5,,SNR,,S5,,S3,S3,S4S5,,S3S4,S3S4,SNR,,S3,S3,S1,S1,,,,S,NGSINM,,,D,LT,0,0,0,1,0,1,0,1,1,
Amphibian,aBCFR,173524,AAABC05020,"Pseudacris brimleyi","Brimley's Chorus Frog",,G5,,,,,,S1,S1,,,,,S3S4,S3S4,SNR,,,,S4,,,,,,,W1,,,,0,0,0,0,0,1,0,0,0,
Amphibian,aBITR,173511,AAABC02030,"Hyla avivoca","Bird-voiced Treefrog",,G5,,S5,,SNR,,S4,,S3,S3,S5,,,,S5,,S5,,,,,,,S,NGSINM,,,,,0,0,0,1,0,0,1,0,0,
Amphibian,aBLSA,173642,AAAAD03080,"Desmognathus quadramaculatus","Blackbelly Salamander",,G5,,,,,,S5,,,,,,S5,,SNR,,S4,,S4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,
Amphibian,aBMSA,173644,AAAAD03090,"Desmognathus welteri","Black Mountain Salamander",,G4,,,,,,,,S4,,,,,,,,S3,S3,S3,S3,,,,N,,,,D,,0,0,0,1,0,0,0,1,0,
Amphibian,aBRDS,550245,AAAAD03150,"Desmognathus orestes","Blue Ridge Dusky Salamander",,G4,,,,,,,,,,,,S3S4,S3S4,,,S3?,S3?,S3,S3,,,,,,,,,,0,0,0,0,0,0,0,0,1,
Amphibian,aBRGS,0,AAAAD12450,"Plethodon amplus","Blue Ridge Gray-cheeked Salamander",,G1G2,G1G2,,,,,,,,,,,S1S2,S1S2,,,,,,,,,,,,SR,,,,0,0,0,0,0,0,0,0,0,
Amphibian,aBRTS,550248,AAAAD05150,"Eurycea wilderae","Blue Ridge Two-lined Salamander",,G5,,,,,,S5,,,,,,S5,,,,S5,,S2,S2,,,,,,,,,,0,0,0,0,0,0,0,0,1,
Amphibian,aBULL,173441,AAABH01070,"Rana catesbeiana",Bullfrog,,G5,,S5,,SNR,,S5,,S5,,S5,,S5,,SNR,,S5,,S5,,,,,N,,,,,,0,0,0,0,0,0,0,0,0,
Amphibian,aBWWA,173628,AAAAE01010,"Necturus alabamensis","Black Warrior Waterdog",,G2,G2,S2,S2,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,C
Amphibian,aCAFR,173437,AAABH01230,"Rana virgatipes","Carpenter Frog",,G5,,,,S2,S2,S3,S3,,,,,S4,,SNR,,,,S3,S3,,,,,,,,,SC,0,1,0,0,0,0,0,0,1,
Amphibian,aCASA,173691,AAAAD05050,"Eurycea lucifuga","Cave Salamander",,G5,,S4,,,,S4,,S5,,S1,S1,,,,,S5,,S4,,,,,N,LE,,,,,0,0,0,0,1,0,0,0,0,
Amphibian,aCBSA,0,AAAAD12480,"Plethodon cheoah","Cheoah Bald Salamander",,G2,G2,,,,,,,,,,,S2?,S2?,,,,,,,,,,,,SR,,,,0,0,0,0,0,0,0,0,0,
Amphibian,aCDSA,0,AAAAD05092,"Eurycea chamberlaini","Chamberlain's Dwarf Salamander",,G5,,,,SNR,,S1,S1,,,,,S3S4,S3S4,SNR,,,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,
Amphibian,aCGTR,173502,AAABC02050,"Hyla chrysoscelis","Cope's Gray Treefrog",,G5,,S5,,SNR,,S5,,S5,,SNR,,S5,,SNR,,S5,,S5,,,,,N,NGSINM,,,,,0,0,0,0,0,0,0,0,0,
Amphibian,aCHSA,208281,AAAAD12490,"Plethodon chattahoochee","Chattahoochee slimy salamander",,G2G3,G2G3,,,,,SNR,,,,,,S2?,S2?,,,,,,,,,,,,SR,,,,0,0,0,0,0,1,0,0,0,
Amphibian,aCMDS,550253,AAAAD03130,"Desmognathus carolinensis","Carolina Mountain Dusky Salamander",,G4,,,,,,,,,,,,S3S4,S3S4,,,S2S3,S2S3,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,
Amphibian,aCPSA,173661,AAAAD12260,"Plethodon kentucki","Cumberland Plateau Salamander",,G4,,,,,,,,S4,,,,,,,,S2,S2,S3,S3,,,,N,,,,,,0,0,0,1,0,0,0,0,1,
Amphibian,aCRFR,173445,AAABH01010,"Rana areolata","Crawfish Frog",,G4,,,,,,,,S3,S3,S3,S3,,,,,S4,,,,,,,N,NGSINM,,,,,0,0,0,1,1,0,0,1,0,
Amphibian,aCUTR,173538,AAABC04010,"Osteopilus septentrionalis","Cuban Treefrog",,G5,,,,SNA,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,
Amphibian,aDBSA,0,AAAAD03180,"Desmognathus folkertsi","Dwarf Black-bellied Salamander",,G2,G2,,,,,S2,S2,,,,,S1,S1,,,,,,,,,,,,SR,,,,0,0,1,0,0,0,0,0,0,
Amphibian,aDUSA,173633,AAAAD03040,"Desmognathus fuscus","Dusky Salamander",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,
